"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"</s>",-0.003336,0.000808,0.004623,0.002786,0.002377,-0.004658,-0.003474,0.003726,0.004359,0.001901,-0.003791,-0.001153,-0.001891,-0.00397,-0.001047,0.003691,-0.003317,-0.004373,-0.003129,0.004084,0.000826,0.002294,0.000795,-0.004086,0.001388,-0.004712,-5.3e-05,-0.000915,-0.000636,-0.004729,0.002625,-0.000424,-0.004498,0.003773,0.002252,0.003522,-0.002399,-0.001966,0.002748,0.001763,-0.000175,0.001336,-0.003621,-0.004519,0.001868,0.002637,-0.000882,0.00189,-0.000143,-0.004612,0.000739,-0.003091,-0.003727,-0.004791,0.001769,-0.002479,0.001133,0.001969,-0.004243,0.004012,-0.004333,0.00213,0.001099,0.000381,0.003718,-0.001142,-0.002607,-0.004354,-0.001147,0.000923,0.004884,-0.00448,0.003385,0.003988,-0.000677,-0.000765,-0.002502,-0.00219,0.004917,0.004679,-0.001158,-0.000961,-0.003532,0.000729,-0.003283,-0.003515,0.000511,0.004209,-0.003518,0.002237,-0.002036,0.003317,-0.000623,-0.002005,0.002211,0.002141,0.002293,0.004982,0.003841,-0.004376
"the",0.131858,-0.065258,0.089144,-0.095156,0.078815,-0.134197,0.056581,-0.007434,-0.080843,-0.079078,0.111926,-0.040484,0.086959,-0.026863,-0.079525,-0.088123,0.028498,0.22631,-0.046411,-0.035301,-0.0511,-0.154151,0.027688,-0.03451,0.176788,-0.18054,-0.122856,0.164248,0.087157,0.060958,-0.009016,0.128534,0.0027,-0.143073,-0.084984,0.149536,-0.117233,0.17168,0.144682,-0.076737,-0.058859,0.109517,-0.036798,-0.07241,0.083652,0.090064,-0.012382,-0.043702,0.033041,-0.021472,0.010218,-0.010771,0.069366,-0.098614,0.113709,0.028332,0.167212,-0.174734,-0.120363,-0.058747,-0.077623,-0.153433,-0.093582,-0.132776,-0.095555,-0.042454,-0.117048,-0.112908,-0.02411,0.046246,0.123546,-0.132198,-0.018656,0.025905,-0.011341,0.184581,0.186744,-0.057786,-0.109429,0.076745,0.020711,0.101382,-0.084527,0.09957,0.123905,-0.126582,0.135436,0.026541,-0.037681,0.08038,-0.170069,-0.083039,0.157485,0.128705,-0.003157,-0.053349,0.00382,-0.03811,-0.086141,0.100585
"and",0.116454,-0.054685,0.142138,-0.110251,0.071183,-0.100658,0.095103,0.011476,-0.051832,-0.111543,0.013095,0.010475,0.094987,-0.067791,-0.02419,-0.10949,0.054651,0.061087,0.003027,-0.0154,-0.090469,-0.0877,0.052191,-0.03859,0.160476,-0.134357,-0.050411,0.22546,0.097167,0.076636,0.010068,0.016903,-0.051521,-0.151415,-0.037048,0.161275,-0.08554,0.084414,0.178361,0.040444,-0.15944,0.054811,-0.058453,-0.004942,0.040825,0.063106,-0.029251,0.018462,0.041496,-0.01806,0.005589,0.061001,0.084994,-0.057767,0.128462,0.065012,0.167919,-0.107225,-0.073022,-0.055502,-0.061666,-0.071455,0.008273,-0.068998,-0.114031,0.023914,-0.066396,-0.02237,-0.041133,0.021772,0.115241,-0.052172,0.019143,-0.01514,-0.038506,0.140068,0.155341,-0.023651,-0.068853,0.072001,0.105249,0.047106,-0.133185,0.087286,0.077378,-0.142446,0.068741,-0.025749,-0.051712,0.098095,-0.154642,-0.089832,0.031558,0.075855,0.005245,-0.00345,-0.020895,-0.018103,0.018212,0.027045
"of",0.150843,-0.0143,-0.02557,-0.145593,0.102968,-0.213166,0.12191,-0.048379,-0.164857,0.010465,0.091146,0.024944,0.058283,-0.007584,-0.068308,0.019281,0.070983,0.240179,-0.132609,-0.154471,-0.043359,-0.139206,0.132817,0.100586,0.24947,-0.094745,-0.221138,0.114162,0.089471,0.023199,-0.006898,-0.011301,-0.099191,-0.195542,0.001287,0.094945,-0.098231,0.198646,0.086662,0.017257,-0.079343,0.13547,0.004153,-0.005484,0.125541,0.020583,-0.013206,-0.053755,-0.086128,-0.013454,0.004503,-0.045959,0.069704,-0.02888,0.10404,-0.001115,0.083021,-0.177211,-0.158975,0.006523,0.002259,-0.01934,0.004332,-0.000592,0.06072,-0.098248,-0.23603,-0.00126,-0.136791,-0.010947,0.199635,-0.104098,-0.03161,0.047978,-0.014437,0.175736,0.199305,0.115111,-0.057516,0.176423,0.02648,0.00872,-0.102024,0.131791,0.15476,-0.20466,0.028506,0.036248,-0.073463,0.053601,-0.173069,-0.172035,0.108729,0.090516,-0.004401,-0.035972,0.026553,-0.02748,-0.017498,0.022622
"to",0.094991,-0.050627,0.099495,-0.112602,0.080201,-0.038218,0.073081,-0.009249,-0.005565,-0.044024,0.029422,0.037129,-0.007181,-0.020228,-0.072254,-0.031944,0.080763,0.036166,-0.089187,-0.08808,-0.091403,-0.053205,0.070361,0.009499,0.065776,-0.012833,-0.029722,0.183273,0.058454,0.087911,0.032579,-0.047026,-0.086789,-0.088412,-0.091295,0.099787,0.040155,0.068856,0.045666,0.130704,-0.050466,0.016164,-0.043332,0.04654,-0.040483,0.024454,-0.035327,0.007258,-0.019365,0.003911,-0.005053,0.033798,0.08231,0.000604,0.085053,0.019579,0.103425,-0.035938,-0.08555,0.042819,-0.014145,0.012659,-0.016999,-0.021798,-0.027509,0.021273,-0.049011,0.059677,-0.05194,0.032758,0.137695,0.030803,0.04892,0.004321,-0.046512,0.020627,0.054718,-0.001919,-0.0266,0.024241,0.099788,0.062633,-0.085224,0.017013,0.110314,-0.094014,-0.023263,0.040375,-0.014472,-0.012375,-0.098183,-0.065884,-0.015308,0.067326,-0.047567,-2.4e-05,-0.031117,-0.05122,-0.013733,-0.026251
"a",0.131577,-0.145248,0.123354,-0.078477,0.149093,-0.070392,0.058224,0.00684,-0.124209,-0.081527,0.094203,0.017988,0.035456,0.030859,-0.058914,-0.093253,0.043811,0.123499,-0.041743,-0.114965,-0.131075,-0.030374,0.067268,-0.05823,0.087247,-0.15467,-0.078165,0.183356,-0.00347,0.136211,0.040309,0.021407,0.002263,-0.130968,-0.156618,0.070354,-0.025018,0.181269,0.101351,0.059788,-0.045978,0.084922,-0.116378,-0.050083,-0.049821,0.155661,-0.053688,0.073852,-0.0107,0.027671,0.060902,0.016789,0.134933,-0.111022,0.206804,0.006348,0.09337,-0.081642,-0.157278,-0.021443,-0.095652,-0.066868,0.04462,-0.101732,-0.091414,0.047503,-0.084239,0.006967,-0.09673,0.060988,0.083627,-0.017715,0.063776,0.020661,-0.020882,0.157205,0.189674,-0.016828,-0.033544,-0.011776,0.025089,0.074179,-0.070826,0.052912,0.134007,-0.117545,0.115348,0.086612,-0.077014,0.115264,-0.195197,-0.048709,0.04367,0.097292,0.093972,-0.130251,-0.066004,0.001742,-0.000941,0.041521
"in",0.145881,0.022247,-0.000229,-0.110963,-0.050808,-0.135706,0.062917,-0.02594,-0.119035,0.039456,0.00396,0.039713,0.031506,0.024056,0.001185,0.054112,0.026075,0.152749,-0.042102,-0.101644,0.022877,-0.099298,0.130797,0.075195,0.124491,0.00325,-0.152024,0.112279,0.033023,-0.025032,-0.025169,-0.074192,-0.104313,-0.085164,0.109829,0.063284,-0.08591,0.103122,0.050589,0.041868,-0.06639,0.145249,0.022982,0.006499,0.067291,0.044765,-0.042226,-0.01038,-0.004701,-0.070169,0.034895,0.006935,0.031952,-0.008578,0.033063,0.048691,0.097244,-0.104795,-0.141051,0.104581,-0.041832,0.038289,0.06151,0.023838,-0.014338,-0.126598,-0.138958,-0.003211,-0.08284,-0.012854,0.108689,-0.013427,0.010515,0.056504,0.022761,0.133158,0.157334,0.0606,-0.087397,0.104677,-0.005198,-0.006547,-0.011089,0.037503,0.114188,-0.141674,-0.050626,-0.00894,-0.003191,-0.032446,-0.103792,-0.054762,0.07444,0.065797,-0.05883,0.064919,0.10299,-0.044092,-0.013381,-0.047386
"I",0.051127,-0.012914,0.189487,-0.044571,-0.004484,0.044624,0.036777,0.031987,0.002773,-0.004212,-0.009192,0.042696,0.016376,-0.084712,-0.005556,-0.061889,0.016577,-0.042662,-0.044478,-0.064093,-0.113122,-0.080782,0.071387,-0.109089,0.053675,0.047808,0.045778,0.171706,0.048021,0.105959,0.070671,-0.071347,-0.014699,-0.054047,-0.111699,0.069217,0.151301,-0.009826,0.09455,0.197317,-0.053949,-0.025385,-0.130542,0.037264,-0.091897,0.101185,-0.028793,-0.001905,0.035153,0.050901,0.049185,0.038414,0.127705,-0.03205,0.105584,0.03184,0.106781,0.024999,-0.080337,0.17995,-0.08966,0.027005,0.033016,-0.030927,-0.078338,-0.027407,0.005924,0.116779,-0.058751,0.044662,0.056162,0.096353,0.213297,0.066048,-0.051519,0.004102,0.094692,-0.072738,-0.090431,-0.102644,0.13141,0.117803,-0.038304,-0.093525,0.16359,-0.086598,-0.062631,-0.044938,0.015796,-0.029045,-0.126359,-0.02307,-0.019917,0.091673,-0.205017,0.024446,0.055253,-0.145165,-0.064193,-0.17462
"is",0.146376,-0.096358,0.098998,-0.130675,0.110104,-0.145382,0.147328,-0.06043,-0.131751,0.007546,0.103709,0.049312,0.013763,0.028319,-0.072555,-0.032667,0.073203,0.160396,-0.10363,-0.175449,-0.093695,-0.088247,0.123772,0.024366,0.143402,-0.060765,-0.114318,0.167837,0.024321,0.061802,0.012134,-0.024184,-0.057143,-0.140025,-0.074143,0.095661,-0.013482,0.167858,0.067618,0.080092,-0.05456,0.122124,-0.087926,0.00408,-0.014641,0.113308,-0.041722,0.028268,-0.04405,0.001371,0.063186,-0.024946,0.099461,-0.077764,0.154066,-0.000949,0.088122,-0.087992,-0.158148,0.049845,-0.05277,0.010803,0.041964,-0.017988,0.000713,-0.015623,-0.15169,0.021274,-0.117032,0.029771,0.139619,0.003291,0.098637,0.078217,-0.004102,0.140734,0.174665,0.031743,-0.069266,0.070648,0.01478,0.059707,-0.073117,0.038655,0.166411,-0.163389,0.018767,0.065503,-0.048637,0.043256,-0.169811,-0.107197,0.07314,0.080977,0.035761,-0.056054,-0.029322,-0.073374,0.000116,0.009929
"at",0.055015,0.045946,0.144435,-0.145581,0.087157,-0.017092,0.071009,0.024195,0.047149,-0.213093,-0.13573,0.087951,0.098943,-0.058046,-0.123347,-0.060846,0.058499,-0.028805,-0.097906,-0.002534,-0.20451,-0.012155,-0.069771,-0.063707,0.127304,-0.162887,-0.065111,0.197782,0.181386,0.076461,0.009529,-0.088653,-0.129859,-0.139843,-0.072943,0.107033,-0.097764,0.006633,0.20981,0.137776,-0.080302,-0.054548,0.098198,0.067806,0.034159,-0.001249,-0.063281,-0.007215,0.075888,0.029557,-0.089451,0.132566,0.166267,0.042493,0.068512,0.159948,0.201415,-0.164935,-0.079425,-0.003,-0.079541,-0.08712,-0.028899,0.087387,-0.215385,-0.027237,-0.054418,0.067744,-0.118,-0.066276,0.16809,-0.127926,-0.042575,-0.185403,-0.141955,0.07204,0.094811,0.062454,-0.027257,0.059682,0.190182,0.032365,-0.181863,0.137593,-0.039721,-0.069509,-0.006533,-0.162052,-0.082722,0.049615,-0.092254,-0.041847,-0.052245,0.107994,-0.044576,0.061488,0.006886,0.095282,-0.021044,-0.127362
